ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00011:PF00002:PF00027:PF00022:PF00021:PF00007:PF00026:PF00025:PF00014:PF00010,151,324,110,41,214,751,0.34,0.77,0.73,0.73,0.38,27,25,126,2,963,0.93,0.89,0.17,0.17,0.36
PF00002,PF00028:PF00008:PF00027:PF00016:PF00001:PF00020:PF00010:PF00003:PF00015:PF00006,51,350,44,7,306,759,0.13,0.72,0.86,0.86,0.26,18,11,40,7,1058,0.61,0.96,0.22,0.22,0.35
PF00003,PF00010:PF00005:PF00006:PF00016:PF00004:PF00019:PF00009:PF00012:PF00024:PF00002,43,485,39,4,446,627,0.08,0.6,0.91,0.91,0.19,33,15,28,18,1055,0.45,0.96,0.35,0.35,0.38
PF00004,PF00013:PF00023:PF00027:PF00006:PF00019:PF00003:PF00005:PF00009:PF00012:PF00018,253,482,204,49,278,585,0.42,0.71,0.81,0.81,0.41,46,43,210,3,860,0.93,0.81,0.17,0.17,0.35
PF00005,PF00003:PF00006:PF00027:PF00004:PF00009:PF00022:PF00020:PF00015:PF00024:PF00001,281,424,203,78,221,614,0.48,0.73,0.72,0.72,0.41,29,29,252,0,835,1.0,0.77,0.1,0.1,0.28
PF00006,PF00016:PF00010:PF00003:PF00005:PF00022:PF00019:PF00004:PF00020:PF00009:PF00013,59,484,52,7,432,625,0.11,0.61,0.88,0.88,0.21,35,17,42,18,1039,0.49,0.95,0.29,0.29,0.35
PF00007,PF00029:PF00021:PF00019:PF00020:PF00011:PF00015:PF00001:PF00009:PF00026:PF00014,9,295,8,1,287,820,0.03,0.74,0.89,0.89,0.13,11,4,5,7,1100,0.36,0.99,0.44,0.44,0.4
PF00008,PF00008:PF00028:PF00002:PF00023:PF00014:PF00027:PF00013:PF00017:PF00018:PF00025,93,378,93,0,285,738,0.25,0.74,1.0,1.0,0.42,39,35,58,4,1019,0.9,0.94,0.38,0.38,0.56
PF00009,PF00020:PF00013:PF00015:PF00019:PF00012:PF00016:PF00010:PF00004:PF00005:PF00003,146,467,127,19,340,630,0.27,0.68,0.87,0.87,0.36,22,17,129,5,965,0.77,0.88,0.12,0.12,0.27
PF00010,PF00016:PF00003:PF00006:PF00011:PF00009:PF00020:PF00015:PF00019:PF00012:PF00002,131,287,88,43,199,786,0.31,0.78,0.67,0.67,0.35,11,10,121,1,984,0.91,0.89,0.08,0.08,0.25
PF00011,PF00010:PF00029:PF00016:PF00013:PF00025:PF00026:PF00021:PF00001:PF00023:PF00009,50,411,47,3,364,702,0.11,0.67,0.94,0.94,0.26,32,17,33,15,1051,0.53,0.96,0.34,0.34,0.4
PF00012,PF00012:PF00016:PF00009:PF00026:PF00020:PF00010:PF00004:PF00013:PF00003:PF00019,105,417,105,0,312,699,0.25,0.72,1.0,1.0,0.42,29,26,79,3,1008,0.9,0.93,0.25,0.25,0.45
PF00013,PF00013:PF00023:PF00009:PF00004:PF00011:PF00017:PF00014:PF00018:PF00008:PF00016,100,443,100,0,343,673,0.23,0.69,1.0,1.0,0.39,41,37,63,4,1012,0.9,0.94,0.37,0.37,0.56
PF00014,PF00029:PF00028:PF00013:PF00008:PF00025:PF00020:PF00015:PF00001:PF00007:PF00009,41,341,31,10,310,765,0.09,0.71,0.76,0.76,0.19,18,10,31,8,1067,0.56,0.97,0.24,0.24,0.35
PF00015,PF00015:PF00009:PF00010:PF00016:PF00007:PF00014:PF00027:PF00002:PF00006:PF00022,22,335,22,0,313,781,0.07,0.72,1.0,1.0,0.22,20,9,13,11,1083,0.45,0.98,0.41,0.41,0.42
PF00016,PF00019:PF00006:PF00010:PF00020:PF00012:PF00009:PF00003:PF00011:PF00002:PF00029,13,324,11,2,313,790,0.03,0.72,0.85,0.85,0.13,15,4,9,11,1092,0.27,0.98,0.31,0.31,0.28
PF00017,PF00017:PF00018:PF00030:PF00013:PF00024:PF00008:PF00023:PF00015:PF00029:PF00028,97,333,97,0,236,783,0.29,0.79,1.0,1.0,0.47,21,20,77,1,1018,0.95,0.93,0.21,0.21,0.43
PF00018,PF00017:PF00023:PF00030:PF00013:PF00004:PF00024:PF00008:PF00007:PF00015:PF00014,127,393,106,21,287,702,0.27,0.72,0.83,0.83,0.36,24,21,106,3,986,0.88,0.9,0.17,0.17,0.36
PF00019,PF00019:PF00016:PF00020:PF00029:PF00009:PF00006:PF00022:PF00004:PF00010:PF00007,31,389,31,0,358,727,0.08,0.68,1.0,1.0,0.23,13,9,22,4,1081,0.69,0.98,0.29,0.29,0.44
PF00020,PF00020:PF00019:PF00016:PF00029:PF00009:PF00012:PF00010:PF00028:PF00007:PF00002,19,303,19,0,284,813,0.06,0.75,1.0,1.0,0.22,10,8,11,2,1095,0.8,0.99,0.42,0.42,0.58
PF00021,PF00021:PF00007:PF00029:PF00028:PF00011:PF00023:PF00001:PF00025:PF00013:PF00026,11,352,11,0,341,764,0.03,0.69,1.0,1.0,0.15,21,6,5,15,1090,0.29,0.98,0.55,0.55,0.39
