ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00011:PF00002:PF00027:PF00022:PF00021:PF00007:PF00026:PF00025:PF00014:PF00010,50,105,32,18,73,229,0.3,0.74,0.64,0.64,0.3,6,6,44,0,302,1.0,0.88,0.12,0.12,0.32
PF00002,PF00028:PF00008:PF00027:PF00016:PF00001:PF00020:PF00010:PF00003:PF00015:PF00006,12,119,10,2,109,231,0.08,0.68,0.83,0.83,0.2,6,5,7,1,339,0.83,0.98,0.42,0.42,0.58
PF00003,PF00010:PF00005:PF00006:PF00016:PF00004:PF00019:PF00009:PF00012:PF00024:PF00002,13,159,11,2,148,191,0.07,0.57,0.85,0.85,0.16,7,5,8,2,337,0.71,0.97,0.38,0.38,0.51
PF00004,PF00013:PF00023:PF00027:PF00006:PF00019:PF00003:PF00005:PF00009:PF00012:PF00018,89,162,66,23,96,167,0.41,0.66,0.74,0.74,0.33,8,8,81,0,263,1.0,0.77,0.09,0.09,0.26
PF00005,PF00003:PF00006:PF00027:PF00004:PF00009:PF00022:PF00020:PF00015:PF00024:PF00001,84,154,67,17,87,181,0.44,0.7,0.8,0.8,0.41,6,6,78,0,268,1.0,0.78,0.07,0.07,0.24
PF00006,PF00016:PF00010:PF00003:PF00005:PF00022:PF00019:PF00004:PF00020:PF00009:PF00013,23,164,20,3,144,185,0.12,0.58,0.87,0.87,0.21,9,6,17,3,326,0.67,0.94,0.26,0.26,0.39
PF00007,PF00029:PF00021:PF00019:PF00020:PF00011:PF00015:PF00001:PF00009:PF00026:PF00014,6,97,4,2,93,253,0.04,0.73,0.67,0.67,0.12,6,3,3,3,343,0.5,0.98,0.5,0.5,0.49
PF00008,PF00008:PF00028:PF00002:PF00023:PF00014:PF00027:PF00013:PF00017:PF00018:PF00025,30,135,30,0,105,217,0.22,0.7,1.0,1.0,0.39,8,7,23,1,321,0.88,0.93,0.23,0.23,0.43
PF00009,PF00020:PF00013:PF00015:PF00019:PF00012:PF00016:PF00010:PF00004:PF00005:PF00003,41,150,27,14,123,188,0.18,0.61,0.66,0.66,0.17,7,7,34,0,311,1.0,0.9,0.17,0.17,0.39
PF00010,PF00016:PF00003:PF00006:PF00011:PF00009:PF00020:PF00015:PF00019:PF00012:PF00002,35,89,22,13,67,250,0.25,0.77,0.63,0.63,0.29,5,5,30,0,317,1.0,0.91,0.14,0.14,0.36
PF00011,PF00010:PF00029:PF00016:PF00013:PF00025:PF00026:PF00021:PF00001:PF00023:PF00009,15,139,13,2,126,211,0.09,0.64,0.87,0.87,0.2,7,6,9,1,336,0.86,0.97,0.4,0.4,0.57
PF00012,PF00012:PF00016:PF00009:PF00026:PF00020:PF00010:PF00004:PF00013:PF00003:PF00019,22,144,22,0,122,208,0.15,0.65,1.0,1.0,0.31,8,7,15,1,329,0.88,0.95,0.32,0.32,0.51
PF00013,PF00013:PF00023:PF00009:PF00004:PF00011:PF00017:PF00014:PF00018:PF00008:PF00016,35,168,35,0,133,184,0.21,0.62,1.0,1.0,0.35,8,8,27,0,317,1.0,0.92,0.23,0.23,0.46
PF00014,PF00029:PF00028:PF00013:PF00008:PF00025:PF00020:PF00015:PF00001:PF00007:PF00009,12,123,10,2,113,227,0.08,0.67,0.83,0.83,0.19,6,6,6,0,340,1.0,0.98,0.5,0.5,0.7
PF00015,PF00015:PF00009:PF00010:PF00016:PF00007:PF00014:PF00027:PF00002:PF00006:PF00022,4,110,4,0,106,242,0.04,0.7,1.0,1.0,0.16,6,4,0,2,346,0.67,0.99,1.0,1.0,0.81
