ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00011:PF00002:PF00027,225,234,139,86,95,747,0.59,0.83,0.62,0.62,0.5,80,73,152,7,835,0.91,0.85,0.32,0.32,0.49
PF00002,PF00028:PF00008:PF00027,82,248,67,15,181,804,0.27,0.82,0.82,0.82,0.4,96,53,29,43,942,0.55,0.93,0.65,0.65,0.56
PF00003,PF00010:PF00005:PF00006,70,438,60,10,378,619,0.14,0.64,0.86,0.86,0.24,155,49,21,106,891,0.32,0.88,0.7,0.7,0.42
PF00004,PF00013:PF00023:PF00027,294,343,195,99,148,625,0.57,0.77,0.66,0.66,0.45,148,116,178,32,741,0.78,0.8,0.39,0.39,0.46
PF00005,PF00003:PF00006:PF00027,381,223,162,219,61,625,0.73,0.74,0.43,0.43,0.4,80,75,306,5,681,0.94,0.71,0.2,0.2,0.34
PF00006,PF00016:PF00010:PF00003,90,198,59,31,139,838,0.3,0.84,0.66,0.66,0.37,51,34,56,17,960,0.67,0.93,0.38,0.38,0.47
PF00007,PF00029:PF00021:PF00019,11,65,7,4,58,998,0.11,0.94,0.64,0.64,0.25,11,6,5,5,1051,0.55,0.99,0.55,0.55,0.54
PF00008,PF00008:PF00028:PF00002,122,179,122,0,57,888,0.68,0.95,1.0,1.0,0.8,80,75,47,5,940,0.94,0.95,0.61,0.61,0.74
PF00009,PF00020:PF00013:PF00015,202,174,96,106,78,787,0.55,0.83,0.48,0.48,0.41,39,33,169,6,859,0.85,0.84,0.16,0.16,0.33
PF00010,PF00016:PF00003:PF00006,170,128,69,101,59,838,0.54,0.85,0.41,0.41,0.38,43,36,134,7,890,0.84,0.87,0.21,0.21,0.38
PF00011,PF00010:PF00029:PF00016,91,178,52,39,126,850,0.29,0.85,0.57,0.57,0.33,26,17,74,9,967,0.65,0.92,0.19,0.19,0.32
PF00012,PF00012:PF00016:PF00009,154,266,154,0,112,801,0.58,0.9,1.0,1.0,0.71,96,94,60,2,911,0.98,0.94,0.61,0.61,0.75
PF00013,PF00013:PF00023:PF00009,154,363,154,0,209,704,0.42,0.8,1.0,1.0,0.57,154,117,37,37,876,0.76,0.93,0.76,0.76,0.72
PF00014,PF00029:PF00028:PF00013,82,199,58,24,141,844,0.29,0.85,0.71,0.71,0.39,52,31,51,21,964,0.6,0.93,0.38,0.38,0.44
PF00015,PF00015:PF00009:PF00010,36,287,36,0,251,780,0.13,0.76,1.0,1.0,0.31,100,24,12,76,955,0.24,0.92,0.67,0.67,0.37
PF00016,PF00019:PF00006:PF00010,19,222,18,1,204,844,0.08,0.81,0.95,0.95,0.25,66,11,8,55,993,0.17,0.94,0.58,0.58,0.29
PF00017,PF00017:PF00018:PF00030,125,226,125,0,101,841,0.55,0.91,1.0,1.0,0.7,93,88,37,5,937,0.95,0.96,0.7,0.7,0.8
PF00018,PF00017:PF00023:PF00030,184,284,129,55,155,728,0.45,0.8,0.7,0.7,0.45,88,73,111,15,868,0.83,0.88,0.4,0.4,0.52
PF00019,PF00019:PF00016:PF00020,42,72,42,0,30,995,0.58,0.97,1.0,1.0,0.75,20,16,26,4,1021,0.8,0.97,0.38,0.38,0.54
PF00020,PF00020:PF00019:PF00016,34,72,34,0,38,995,0.47,0.96,1.0,1.0,0.67,20,19,15,1,1032,0.95,0.99,0.56,0.56,0.72
PF00021,PF00021:PF00007:PF00029,19,38,19,0,19,1029,0.5,0.98,1.0,1.0,0.7,8,6,13,2,1046,0.75,0.99,0.32,0.32,0.48
PF00022,PF00022:PF00025:PF00006,141,237,141,0,96,830,0.59,0.91,1.0,1.0,0.73,92,81,60,11,915,0.88,0.93,0.57,0.57,0.68
PF00023,PF00013:PF00018:PF00008,236,292,154,82,138,693,0.53,0.79,0.65,0.65,0.45,117,96,140,21,810,0.82,0.85,0.41,0.41,0.51
PF00024,PF00030:PF00017:PF00016,78,140,51,27,89,900,0.36,0.89,0.65,0.65,0.43,24,16,62,8,981,0.67,0.93,0.21,0.21,0.35
PF00025,PF00022:PF00028:PF00011,136,218,89,47,129,802,0.41,0.84,0.65,0.65,0.43,80,55,81,25,906,0.69,0.9,0.4,0.4,0.48
PF00026,PF00012:PF00011:PF00027,131,270,91,40,179,757,0.34,0.79,0.69,0.69,0.38,103,68,63,35,901,0.66,0.91,0.52,0.52,0.54
PF00027,PF00005:PF00004:PF00002,174,472,150,24,322,571,0.32,0.68,0.86,0.86,0.37,228,112,62,116,777,0.49,0.83,0.64,0.64,0.46
PF00028,PF00028:PF00008:PF00002,91,179,91,0,88,888,0.51,0.92,1.0,1.0,0.68,80,60,31,20,956,0.75,0.95,0.66,0.66,0.68
PF00029,PF00007:PF00019:PF00020,20,65,13,7,52,995,0.2,0.94,0.65,0.65,0.34,15,9,11,6,1041,0.6,0.98,0.45,0.45,0.51
PF00030,PF00017:PF00024:PF00029,24,156,17,7,139,904,0.11,0.86,0.71,0.71,0.24,51,12,12,39,1004,0.24,0.95,0.5,0.5,0.32
