ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00296:PF10225:PF08559,225,69,46,179,23,819,0.67,0.81,0.2,0.2,0.29,9,9,216,0,842,1.0,0.8,0.04,0.04,0.18
PF00002,PF14087:PF03309:PF05141,82,44,22,60,22,963,0.5,0.92,0.27,0.27,0.33,15,10,72,5,980,0.67,0.93,0.12,0.12,0.26
PF00003,PF10565:PF04002:PF08017,70,21,12,58,9,988,0.57,0.94,0.17,0.17,0.29,1,1,69,0,997,1.0,0.94,0.01,0.01,0.12
PF00004,PF02359:PF04703:PF04951,294,34,34,260,0,773,1.0,0.76,0.12,0.12,0.29,0,0,294,0,773,0,0.72,0.0,0.0,0
PF00005,PF03412:PF14510:PF02405,381,59,58,323,1,685,0.98,0.7,0.15,0.15,0.32,6,6,375,0,686,1.0,0.65,0.02,0.02,0.1
PF00006,PF00306:PF10962:PF08189,90,31,30,60,1,976,0.97,0.94,0.33,0.33,0.55,1,1,89,0,977,1.0,0.92,0.01,0.01,0.1
PF00007,PF08189:PF11415:PF00451,11,1,0,11,1,1055,0.0,0.99,0.0,0.0,-0.0,0,0,11,0,1056,0,0.99,0.0,0.0,0
PF00008,PF12661:PF07657:PF00594,122,74,68,54,6,939,0.92,0.94,0.56,0.56,0.69,14,14,108,0,945,1.0,0.9,0.11,0.11,0.32
PF00009,PF16004:PF15594:PF14491,202,24,22,180,2,863,0.92,0.83,0.11,0.11,0.28,2,2,200,0,865,1.0,0.81,0.01,0.01,0.09
PF00010,PF13388:PF14893:PF13676,170,66,45,125,21,876,0.68,0.86,0.26,0.26,0.37,7,7,163,0,897,1.0,0.85,0.04,0.04,0.19
PF00011,PF13879:PF09431:PF08837,91,44,25,66,19,957,0.57,0.92,0.27,0.27,0.36,6,6,85,0,976,1.0,0.92,0.07,0.07,0.25
PF00012,PF14441:PF04231:PF19150,154,28,20,134,8,905,0.71,0.87,0.13,0.13,0.27,4,4,150,0,913,1.0,0.86,0.03,0.03,0.15
PF00013,PF17904:PF16274:PF08067,154,18,18,136,0,913,1.0,0.87,0.12,0.12,0.32,3,3,151,0,913,1.0,0.86,0.02,0.02,0.13
PF00014,PF14625:PF15761:PF08189,82,24,24,58,0,985,1.0,0.95,0.29,0.29,0.53,2,2,80,0,985,1.0,0.93,0.02,0.02,0.15
PF00015,PF01521:PF07039:PF07572,36,61,13,23,48,983,0.21,0.93,0.36,0.36,0.24,18,9,27,9,1022,0.5,0.97,0.25,0.25,0.34
PF00016,PF02425:PF17331:PF08189,19,0,0,19,0,1048,0,0.98,0.0,0.0,0,0,0,19,0,1048,0,0.98,0.0,0.0,0
PF00017,PF05251:PF00620:PF08668,125,148,75,50,73,869,0.51,0.88,0.6,0.6,0.49,15,12,113,3,939,0.8,0.89,0.1,0.1,0.25
PF00018,PF14604:PF07653:PF12127,184,139,100,84,39,844,0.72,0.88,0.54,0.54,0.56,48,45,139,3,880,0.94,0.87,0.24,0.24,0.44
PF00019,PF07937:PF08189:PF17331,42,0,0,42,0,1025,0,0.96,0.0,0.0,0,0,0,42,0,1025,0,0.96,0.0,0.0,0
PF00020,PF05961:PF17111:PF12688,34,40,16,18,24,1009,0.4,0.96,0.47,0.47,0.41,3,3,31,0,1033,1.0,0.97,0.09,0.09,0.29
PF00021,PF17669:PF07572:PF07039,19,32,6,13,26,1022,0.19,0.96,0.32,0.32,0.23,7,4,15,3,1045,0.57,0.98,0.21,0.21,0.34
PF00022,PF08650:PF11267:PF07896,141,26,18,123,8,918,0.69,0.88,0.13,0.13,0.26,6,6,135,0,926,1.0,0.87,0.04,0.04,0.19
PF00023,PF13606:PF13637:PF11929,236,247,177,59,70,761,0.72,0.88,0.75,0.75,0.66,82,75,161,7,824,0.91,0.84,0.32,0.32,0.48
PF00024,PF10546:PF18684:PF08189,78,0,0,78,0,989,0,0.93,0.0,0.0,0,0,0,78,0,989,0,0.93,0.0,0.0,0
PF00025,PF04229:PF03911:PF10441,136,42,23,113,19,912,0.55,0.88,0.17,0.17,0.26,8,8,128,0,931,1.0,0.88,0.06,0.06,0.23
