ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00296:PF10225:PF08559:PF05129:PF01423,426,329,192,234,137,1974,0.58,0.85,0.45,0.45,0.43,21,21,405,0,2111,1.0,0.84,0.05,0.05,0.2
PF00002,PF14087:PF03309:PF05141:PF08017:PF12294,145,80,41,104,39,2353,0.51,0.94,0.28,0.28,0.35,9,9,136,0,2392,1.0,0.95,0.06,0.06,0.24
PF00003,PF10565:PF04002:PF08017:PF10532:PF01241,126,48,25,101,23,2388,0.52,0.95,0.2,0.2,0.3,2,2,124,0,2411,1.0,0.95,0.02,0.02,0.12
PF00004,PF02359:PF04703:PF04951:PF07937:PF12127,636,65,65,571,0,1901,1.0,0.77,0.1,0.1,0.28,2,2,634,0,1901,1.0,0.75,0.0,0.0,0.05
PF00005,PF03412:PF14510:PF02405:PF16185:PF02621,746,109,98,648,11,1780,0.9,0.74,0.13,0.13,0.28,8,8,738,0,1791,1.0,0.71,0.01,0.01,0.09
PF00006,PF00306:PF10962:PF08189:PF17331:PF02425,172,65,60,112,5,2360,0.92,0.95,0.35,0.35,0.55,0,0,172,0,2365,0,0.93,0.0,0.0,0
PF00007,PF08189:PF11415:PF00451:PF17333:PF06357,26,5,1,25,4,2507,0.2,0.99,0.04,0.04,0.08,0,0,26,0,2511,0,0.99,0.0,0.0,0
PF00008,PF12661:PF07657:PF00594:PF19330:PF01414,245,162,146,99,16,2276,0.9,0.95,0.6,0.6,0.71,26,26,219,0,2292,1.0,0.91,0.11,0.11,0.31
PF00009,PF16004:PF15594:PF14491:PF08189:PF07606,389,39,34,355,5,2143,0.87,0.86,0.09,0.09,0.25,1,1,388,0,2148,1.0,0.85,0.0,0.0,0.05
PF00010,PF13388:PF14893:PF13676:PF02301:PF07209,336,176,103,233,73,2128,0.59,0.88,0.31,0.31,0.36,9,9,327,0,2201,1.0,0.87,0.03,0.03,0.15
PF00011,PF13879:PF09431:PF08837:PF09451:PF10235,156,114,53,103,61,2320,0.46,0.94,0.34,0.34,0.36,5,5,151,0,2381,1.0,0.94,0.03,0.03,0.17
PF00012,PF14441:PF04231:PF19150:PF03229:PF04908,281,77,43,238,34,2222,0.56,0.89,0.15,0.15,0.25,6,6,275,0,2256,1.0,0.89,0.02,0.02,0.14
PF00013,PF17904:PF16274:PF08067:PF12072:PF16551,289,36,35,254,1,2247,0.97,0.9,0.12,0.12,0.32,2,2,287,0,2248,1.0,0.89,0.01,0.01,0.08
PF00014,PF14625:PF15761:PF08189:PF11415:PF00451,135,41,37,98,4,2398,0.9,0.96,0.27,0.27,0.48,0,0,135,0,2402,0,0.95,0.0,0.0,0
PF00015,PF01521:PF07039:PF07572:PF00832:PF11571,62,154,27,35,127,2348,0.18,0.94,0.44,0.44,0.25,28,15,47,13,2462,0.54,0.98,0.24,0.24,0.35
PF00016,PF02425:PF17331:PF08189:PF13179:PF18251,41,0,0,41,0,2496,0,0.98,0.0,0.0,0,0,0,41,0,2496,0,0.98,0.0,0.0,0
PF00017,PF05251:PF00620:PF08668:PF14087:PF05022,253,299,134,119,165,2119,0.45,0.89,0.53,0.53,0.43,17,14,239,3,2281,0.82,0.9,0.06,0.06,0.2
PF00018,PF14604:PF07653:PF12127:PF11890:PF08189,357,269,179,178,90,2090,0.67,0.89,0.5,0.5,0.52,4,4,353,0,2180,1.0,0.86,0.01,0.01,0.1
PF00019,PF07937:PF08189:PF17331:PF18134:PF02907,84,3,2,82,1,2452,0.67,0.97,0.02,0.02,0.12,0,0,84,0,2453,0,0.97,0.0,0.0,0
PF00020,PF05961:PF17111:PF12688:PF10846:PF00963,57,86,35,22,51,2429,0.41,0.97,0.61,0.61,0.49,3,2,55,1,2479,0.67,0.98,0.04,0.04,0.15
PF00021,PF17669:PF07572:PF07039:PF11267:PF00756,34,138,17,17,121,2382,0.12,0.95,0.5,0.5,0.23,10,7,27,3,2500,0.7,0.99,0.21,0.21,0.38
PF00022,PF08650:PF11267:PF07896:PF01129:PF14521,269,166,84,185,82,2186,0.51,0.89,0.31,0.31,0.34,9,9,260,0,2268,1.0,0.9,0.03,0.03,0.17
PF00023,PF13606:PF13637:PF11929:PF14835:PF07693,432,483,307,125,176,1929,0.64,0.88,0.71,0.71,0.6,19,19,413,0,2105,1.0,0.84,0.04,0.04,0.19
